average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
9783.512521049714,-22575.33336742158,1091,112228.57,57,160,22914.000084141735,48,71349,14.535531098967862,153,68,-1083616.0016362357
9350.88752829199,-20375.71741328734,1103,114261.41,58,160,17562.999950936064,46,72452,16.02503402791341,153,69,-937283.0010112177
10091.343769752828,-22663.191542533335,1149,113232.87,59,160,22365.000172931468,47,73601,16.140964520884385,151,66,-1065170.0024990668
10951.300032748557,-24008.666687323042,1146,106217.92,60,160,22691.000039193314,54,74747,16.257080387799363,153,57,-1296468.0011154443
9358.968767876577,-21691.270834721534,1173,112209.61,61,160,23087.99983929959,48,75920,16.7402404195533,148,68,-1041181.0000666336
10530.38128092383,-23869.636430016762,1156,105192.64,62,160,26441.000137366354,55,77076,16.877495713971754,150,67,-1312830.0036509219
11972.887490202724,-27814.82534747122,1151,97182.37,63,160,27406.999895387562,63,78227,16.39691732470349,152,68,-1752333.9968906867
10834.587529574746,-24105.714300087544,1168,104190.07,64,160,23587.9999829398,56,79395,17.051417390454773,149,64,-1349920.0008049025
9690.762501905083,-22748.764690631433,1167,109243.05,65,160,19886.99996098876,51,80562,16.07008288950469,150,76,-1160186.9992222032
11208.037501910781,-26798.740727393695,1165,106182.836,66,160,30124.999945022864,54,81727,16.277647969748937,153,68,-1447131.9992792595
10494.606316746766,-25422.55781767368,1151,108198.53,67,160,26213.000212735496,52,82878,16.642239772209262,150,75,-1321973.0065190315
10524.662509864975,-24892.403845340552,1162,108184.77,68,160,29431.000034655444,52,84040,16.96961415563042,151,66,-1294404.9999577086
9863.950015082723,-22188.380038585117,1154,110193.27,69,160,24691.000097844517,50,85194,14.471766312018367,150,65,-1109419.001929256
11264.400044151604,-26520.06673112595,1154,100174.97,70,160,29335.000127847306,60,86348,14.078466495433611,150,75,-1591204.003867557
11073.881268335477,-27139.116675176618,1134,100164.93,71,160,33491.99999744422,60,87482,13.883489775568565,152,69,-1628347.0005105971
10302.425026745681,-26040.125041787178,1158,112191.69,72,160,29923.0000637169,48,88640,14.047726406580367,153,75,-1249926.0020057845
10918.712507086268,-26619.645854446426,1164,112172.25,73,160,34290.00005854061,48,89804,14.368201344271226,151,70,-1277743.0010134284
11478.125031425945,-29411.48004530205,1157,110184.24,74,160,32535.00007506227,50,90961,13.977682609828122,147,75,-1470574.0022651025
10004.33129110049,-24787.63048221157,1163,114217.77,75,160,26383.000061352504,46,92124,14.56370604335834,149,72,-1140231.0021817323
10568.35627154744,-27454.912317109116,1148,103197.19,76,160,27660.00008488074,57,93272,14.084611210655078,146,64,-1564930.0020752195
9912.587550316042,-21531.000073023675,1140,110247.53,77,160,19863.000116298208,50,94412,14.005922949204475,150,64,-1076550.0036511838
11161.956300436177,-25763.226461974413,1161,107195.17,78,160,28160.000053810654,53,95573,14.155271965330513,151,70,-1365451.0024846438
11340.074984931038,-28336.403458688834,1137,103161.44,79,160,31099.999894456705,57,96710,14.095256065573375,147,76,-1615174.9971452635
9460.193776430882,-24381.800052026432,1160,120232.44,80,160,24968.000116286566,40,97870,13.819513809033868,153,67,-975272.0020810573
